Month of Order Date,Category,Target
2026-04-18,Furniture,10400
2026-05-18,Furniture,10500
2026-06-18,Furniture,10600
2026-07-18,Furniture,10800
2026-08-18,Furniture,10900
2026-09-18,Furniture,11000
2026-10-18,Furniture,11100
2026-11-18,Furniture,11300
2026-12-18,Furniture,11400
2026-01-19,Furniture,11500
2026-02-19,Furniture,11600
2026-03-19,Furniture,11800
2026-04-18,Clothing,12000
2026-05-18,Clothing,12000
2026-06-18,Clothing,12000
2026-07-18,Clothing,14000
2026-08-18,Clothing,14000
2026-09-18,Clothing,14000
2026-10-18,Clothing,16000
2026-11-18,Clothing,16000
2026-12-18,Clothing,16000
2026-01-19,Clothing,16000
2026-02-19,Clothing,16000
2026-03-19,Clothing,16000
2026-04-18,Electronics,9000
2026-05-18,Electronics,9000
2026-06-18,Electronics,9000
2026-07-18,Electronics,9000
2026-08-18,Electronics,9000
2026-09-18,Electronics,9000
2026-10-18,Electronics,9000
2026-11-18,Electronics,9000
2026-12-18,Electronics,9000
2026-01-19,Electronics,16000
2026-02-19,Electronics,16000
2026-03-19,Electronics,16000
